Age,Department,DistanceFromHome,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,YearsAtCompany,WorkLifeBalance,Attrition
53,Sales,14,1,1,5008,No,3,1,No
53,R&D,18,2,1,7258,No,5,1,No
25,R&D,19,2,4,5182,Yes,14,2,Yes
51,Sales,22,1,2,9811,No,3,2,No
58,Human Resources,9,1,2,3489,Yes,7,4,Yes
44,Sales,25,5,4,14976,Yes,7,4,Yes
36,R&D,7,5,2,10946,No,14,4,No
50,Sales,28,1,1,14855,Yes,2,1,Yes
57,R&D,3,3,4,7211,Yes,13,4,No
34,R&D,20,5,1,8979,Yes,13,1,Yes
53,Human Resources,6,3,3,9464,Yes,7,4,No
28,R&D,27,1,3,10575,Yes,11,1,Yes
43,R&D,21,5,2,6952,No,6,1,No
49,Human Resources,2,2,3,10947,Yes,10,2,No
23,R&D,29,1,1,3507,No,9,3,Yes
27,Human Resources,6,4,3,8996,Yes,13,1,No
49,Human Resources,3,3,1,12447,No,9,4,No
49,R&D,16,1,2,10188,Yes,2,2,Yes
41,R&D,8,1,2,13263,No,7,4,No
51,Sales,2,5,1,6408,No,5,4,No
32,Human Resources,17,5,3,13689,Yes,13,1,No
49,Sales,9,5,2,5303,No,6,1,No
46,R&D,12,4,4,14457,No,1,3,No
54,Sales,3,5,2,6879,Yes,7,1,No
22,Human Resources,11,1,3,14075,No,6,1,No
48,Sales,1,5,4,2598,No,4,3,No
34,Human Resources,23,2,3,10888,No,1,4,No
24,R&D,13,5,1,13221,No,9,3,No
27,R&D,15,4,4,3377,No,4,3,No
29,Human Resources,26,2,3,4368,No,2,3,No
48,R&D,5,1,4,5165,No,8,2,Yes
30,R&D,21,1,3,3888,No,2,4,No
58,R&D,17,3,4,4915,Yes,5,2,No
54,R&D,25,2,3,11261,No,11,2,No
45,Human Resources,23,3,1,5137,Yes,6,1,No
36,Sales,24,2,4,9742,Yes,11,3,Yes
53,Sales,25,2,4,11757,No,13,3,No
53,R&D,6,4,4,11113,No,8,2,No
45,Sales,28,3,4,5383,Yes,11,1,Yes
33,Sales,21,4,1,3704,No,1,1,Yes
23,R&D,22,2,4,3044,No,1,1,No
24,R&D,11,1,2,14858,No,12,4,No
58,Sales,18,2,1,14331,No,4,2,No
38,Human Resources,4,4,2,3723,No,5,4,No
23,R&D,3,3,4,5672,Yes,13,1,No
23,Human Resources,13,3,3,11459,Yes,13,1,No
49,Sales,23,4,2,8950,No,9,1,No
44,R&D,9,3,4,14349,Yes,11,3,No
58,Human Resources,21,5,2,9020,No,14,2,No
53,R&D,6,1,4,3154,No,7,3,No
54,Sales,26,1,4,9321,No,7,4,No
22,Human Resources,28,1,4,4946,Yes,8,3,Yes
40,Sales,12,3,3,8392,No,5,2,No
23,Sales,2,3,2,10912,No,5,3,No
47,R&D,3,2,1,6166,No,1,1,No
53,Human Resources,3,2,1,6777,Yes,14,4,Yes
27,Sales,28,1,1,6902,No,9,4,No
53,Sales,12,5,1,5069,No,6,1,No
25,Human Resources,15,2,4,8015,No,9,1,No
32,Sales,9,2,2,11705,No,3,1,No
38,Sales,23,3,2,12743,Yes,5,2,Yes
59,Human Resources,8,5,3,6485,Yes,2,3,No
45,Human Resources,11,1,2,10667,No,10,4,No
26,Human Resources,16,2,2,9948,No,5,3,No
55,Human Resources,26,5,2,6810,No,13,1,No
27,R&D,27,5,3,5519,Yes,13,1,Yes
43,Human Resources,25,1,1,6181,Yes,13,3,Yes
32,R&D,22,5,2,12135,Yes,14,4,Yes
37,R&D,4,5,3,6696,Yes,8,2,No
54,R&D,28,5,3,13702,No,11,3,Yes
30,Sales,1,2,4,3072,No,2,1,Yes
27,R&D,24,1,3,12024,Yes,8,1,No
37,R&D,7,5,1,7253,No,4,2,No
50,Sales,2,5,2,9582,Yes,10,3,Yes
24,Sales,24,2,3,6502,No,10,2,No
41,Sales,28,1,1,8129,Yes,1,2,Yes
57,Human Resources,5,3,3,13826,No,13,4,No
40,Sales,7,2,3,14778,No,5,4,No
47,Sales,4,1,3,10917,No,13,1,Yes
24,R&D,5,5,3,6700,No,1,3,No
40,Sales,24,1,3,4497,No,7,4,No
41,Human Resources,1,1,1,11463,No,8,1,No
53,Sales,1,1,2,9922,Yes,3,3,Yes
28,Human Resources,15,3,2,7024,No,3,1,No
54,Sales,20,1,2,11125,No,7,4,Yes
39,Sales,19,3,2,13791,Yes,4,1,Yes
22,Sales,29,5,1,13421,No,3,3,No
32,Sales,10,3,4,5907,No,8,3,No
49,Human Resources,28,5,4,9231,No,3,1,No
46,Human Resources,18,5,1,10295,No,13,3,No
44,R&D,28,3,1,13832,No,14,1,Yes
52,Human Resources,3,2,3,11557,No,7,3,No
51,Sales,11,4,3,5293,No,2,1,No
56,R&D,15,1,3,9834,No,11,1,No
28,R&D,27,4,2,5411,No,11,1,No
37,R&D,11,1,3,10452,No,1,2,Yes
47,Sales,17,1,4,4915,No,12,3,No
23,Human Resources,17,5,2,2750,No,6,4,No
22,Sales,6,1,3,7451,No,8,1,Yes
33,R&D,5,1,2,10598,No,1,2,No
26,Sales,8,3,4,14449,No,13,4,No
58,Sales,2,4,3,7789,No,10,1,No
53,Human Resources,16,3,4,10602,Yes,12,4,No
30,Human Resources,20,1,4,9757,No,9,2,No
56,R&D,24,5,4,8065,No,3,4,No
40,Sales,12,3,3,8937,Yes,3,1,No
37,Sales,6,3,1,11610,Yes,4,4,Yes
24,Human Resources,1,2,3,3673,No,11,4,No
41,Sales,4,1,4,13895,Yes,1,1,Yes
45,Sales,17,5,3,11124,No,9,2,No
54,Sales,13,3,4,3335,No,11,2,Yes
45,Human Resources,18,3,1,12938,No,3,4,Yes
32,R&D,5,5,2,4762,No,13,3,No
29,R&D,24,1,1,11589,No,10,4,Yes
57,Sales,24,2,1,14324,No,4,3,No
59,R&D,27,3,2,7067,Yes,1,4,Yes
41,Human Resources,3,2,3,6315,No,4,2,No
56,Human Resources,11,4,2,2746,No,13,4,Yes
46,R&D,13,1,3,4929,No,1,4,Yes
56,R&D,4,4,3,11682,Yes,5,3,No
46,Sales,26,4,4,14002,No,5,2,No
50,R&D,27,4,4,11618,Yes,14,3,Yes
39,Sales,14,1,2,14130,No,11,4,No
39,Sales,22,1,1,7787,Yes,7,1,Yes
23,Human Resources,11,5,2,5107,No,14,4,No
56,Human Resources,27,2,3,11766,No,8,4,Yes
37,Human Resources,10,2,4,8430,Yes,4,3,No
57,Human Resources,19,5,2,6522,No,7,1,No
54,R&D,18,5,2,14491,No,4,1,No
25,Human Resources,6,4,4,7284,No,3,3,No
54,R&D,27,5,4,9117,No,6,2,Yes
35,Human Resources,29,3,4,5651,No,4,1,No
42,R&D,15,2,3,14130,No,14,1,No
41,Sales,21,5,4,8080,No,3,3,No
29,R&D,10,3,1,9554,No,9,2,Yes
28,R&D,5,3,2,10206,Yes,5,2,Yes
24,Human Resources,26,3,4,10119,No,13,4,No
38,R&D,29,3,4,7073,No,14,4,No
54,Sales,5,4,3,5991,Yes,7,3,No
33,Sales,10,3,3,3206,No,12,2,No
43,Human Resources,28,4,2,9497,No,14,3,No
43,Sales,5,4,1,7733,No,6,4,No
51,R&D,3,3,2,13756,Yes,10,3,Yes
59,Sales,23,2,4,11445,No,5,3,No
59,Human Resources,6,3,1,8255,No,7,1,No
29,R&D,4,3,1,9460,No,11,1,No
48,Human Resources,18,3,1,11279,No,6,1,No
48,R&D,28,2,1,3834,No,10,4,Yes
55,Sales,9,1,2,8088,No,2,3,Yes
42,Human Resources,17,1,3,4347,Yes,13,1,No
51,Human Resources,29,4,3,9351,No,13,1,Yes
54,R&D,13,4,4,14626,No,13,1,No
49,Human Resources,27,2,3,9711,Yes,3,4,Yes
54,R&D,15,5,3,10365,No,2,4,No
26,R&D,20,1,3,14618,Yes,12,3,No
40,R&D,17,4,3,5817,Yes,3,3,No
25,R&D,13,1,4,14712,No,1,3,No
56,Sales,16,2,2,13847,No,8,1,No
38,R&D,22,2,1,14994,No,6,2,No
49,Human Resources,4,5,3,12890,No,13,4,No
51,Sales,5,5,2,9311,Yes,2,1,Yes
50,Human Resources,5,2,3,2664,No,8,1,No
27,Sales,9,4,3,9560,No,6,3,No
56,R&D,17,1,1,12690,No,7,3,No
58,Sales,13,3,1,5557,No,11,1,No
45,Sales,2,5,1,12776,No,1,4,Yes
50,Human Resources,13,3,3,6928,No,7,4,No
52,Human Resources,22,4,3,2902,No,3,1,No
56,R&D,21,5,3,11105,Yes,11,2,Yes
54,Sales,27,3,1,10736,No,12,2,No
42,Sales,23,4,4,8849,Yes,8,4,Yes
53,Sales,19,1,2,6657,Yes,6,3,Yes
44,R&D,3,4,4,13159,Yes,4,2,No
54,R&D,10,5,3,3367,No,11,2,No
24,R&D,2,2,3,10710,No,8,3,No
39,R&D,13,1,4,2864,No,9,2,No
46,R&D,19,3,3,9967,No,10,1,No
52,Human Resources,26,5,2,14524,No,2,2,No
24,Sales,17,2,3,9071,No,6,3,No
45,Sales,21,4,2,3079,Yes,5,1,Yes
53,Sales,14,2,4,10174,No,5,2,No
43,Sales,12,5,4,11237,No,10,4,No
44,Sales,21,5,3,8968,No,11,1,No
23,Sales,12,2,2,6650,No,3,1,Yes
48,Sales,11,4,3,5539,Yes,12,4,No
23,Sales,7,2,1,6637,No,8,4,No
47,Human Resources,4,5,1,14736,No,14,2,No
38,Sales,19,5,1,2952,No,8,2,No
54,Human Resources,1,3,1,14653,Yes,12,3,Yes
30,R&D,28,3,3,9037,No,5,3,No
50,Sales,24,1,1,3881,No,8,1,Yes
47,R&D,29,5,2,10654,Yes,10,4,Yes
56,R&D,3,3,4,3967,No,8,4,Yes
46,R&D,13,2,4,5238,No,3,3,No
45,Human Resources,15,4,1,10072,No,2,1,No
34,R&D,2,2,1,11908,No,9,1,No
28,R&D,11,4,1,9247,No,2,3,No
57,R&D,4,3,3,3380,No,9,3,No
41,Sales,19,1,4,14506,Yes,4,3,No
22,Sales,29,2,1,5649,Yes,12,2,No
29,Human Resources,17,2,2,10776,Yes,13,1,Yes
37,Human Resources,3,2,1,10392,No,2,1,No
35,Sales,28,4,4,6644,No,10,1,No
33,Human Resources,18,3,1,3668,No,1,3,Yes
44,Sales,8,2,4,14856,No,4,3,No
36,R&D,22,2,1,5629,No,9,3,No
49,R&D,25,1,2,6145,No,12,3,Yes
55,Human Resources,24,1,1,5026,Yes,9,4,No
23,Sales,26,3,2,13559,No,4,3,No
53,Sales,19,3,2,6016,No,9,2,No
44,Human Resources,5,5,1,5867,No,12,4,No
43,Sales,7,1,2,9838,No,6,4,No
46,R&D,21,5,3,12886,No,1,3,Yes
43,Human Resources,8,4,1,6055,Yes,10,1,Yes
43,Human Resources,28,5,1,7611,No,13,3,No
27,Sales,5,2,2,9252,No,14,1,Yes
36,Human Resources,17,5,2,2945,No,6,3,No
58,Sales,5,3,1,8864,No,9,3,No
54,Sales,4,4,3,6126,No,13,1,No
29,Sales,22,2,2,6516,No,2,1,No
26,Sales,19,5,2,6375,No,6,1,No
25,Sales,27,4,4,7997,No,2,1,No
27,Human Resources,21,4,3,14029,No,4,2,No
53,R&D,2,2,3,8738,No,8,1,No
51,R&D,11,5,1,2761,No,13,3,No
56,Human Resources,22,4,3,12540,No,7,3,No
37,Human Resources,13,4,1,7492,Yes,11,2,Yes
34,R&D,15,1,4,6525,No,12,1,No
51,R&D,12,4,3,12958,Yes,13,3,No
40,R&D,22,1,2,10783,No,9,2,No
38,R&D,21,5,4,6722,Yes,7,3,Yes
40,R&D,22,5,1,6675,Yes,1,2,Yes
49,Sales,11,5,4,14001,Yes,2,2,No
47,Human Resources,7,3,1,11674,Yes,6,4,Yes
58,Sales,28,5,4,5943,No,7,4,No
47,R&D,5,4,1,7511,No,3,1,No
44,R&D,17,2,3,13225,No,9,4,No
30,R&D,24,1,2,3193,No,13,2,Yes
33,Sales,20,3,1,14812,No,7,3,No
22,Sales,9,5,4,10847,Yes,14,3,No
22,R&D,14,5,1,14280,No,6,1,Yes
55,Sales,26,2,1,4312,Yes,13,4,Yes
53,Sales,12,2,1,8224,No,6,1,No
46,R&D,6,3,4,14806,No,1,2,No
22,Sales,17,1,2,3907,Yes,13,4,Yes
37,Human Resources,19,5,3,10532,No,5,1,Yes
26,Human Resources,19,3,2,11908,No,10,3,No
43,Human Resources,26,4,1,3910,No,3,3,Yes
50,Human Resources,16,4,4,5997,No,7,1,No
24,R&D,12,3,2,6872,Yes,10,1,Yes
33,R&D,12,5,1,9894,No,3,1,Yes
47,R&D,20,3,3,3051,Yes,5,2,Yes
37,Human Resources,6,5,3,14086,No,7,2,No
58,Human Resources,23,2,3,11868,Yes,14,3,Yes
43,Sales,26,3,1,6832,No,3,2,No
50,Sales,4,5,4,3497,No,13,2,Yes
35,Human Resources,6,3,2,6576,No,13,4,No
49,Human Resources,11,3,3,8599,No,10,2,No
26,Human Resources,1,5,1,8055,No,2,4,No
51,Human Resources,24,5,1,13423,No,6,2,No
26,Sales,23,1,2,14629,No,8,3,No
33,Human Resources,15,3,3,6552,Yes,4,1,No
37,Sales,27,4,1,7803,No,9,3,No
47,Human Resources,11,3,2,10618,Yes,12,2,Yes
47,Human Resources,25,3,4,8602,Yes,12,1,Yes
42,Human Resources,19,5,4,7990,No,8,1,No
57,Sales,18,3,4,11064,No,7,1,No
54,Sales,17,3,3,8116,No,14,4,No
51,R&D,19,4,2,4748,Yes,7,3,Yes
58,Human Resources,21,5,2,3348,No,3,4,Yes
44,R&D,14,3,1,13248,Yes,14,1,Yes
31,R&D,27,2,1,13014,Yes,6,3,Yes
26,Sales,18,1,1,8854,Yes,13,3,Yes
57,Sales,28,4,2,11195,No,13,2,No
55,R&D,19,3,1,10570,No,5,4,No
52,Human Resources,15,2,2,13881,Yes,1,4,Yes
31,Sales,15,3,2,11394,No,11,2,No
40,Human Resources,4,3,4,6125,Yes,3,4,No
53,Human Resources,7,5,1,2814,No,13,1,No
22,R&D,13,5,4,4876,No,12,1,No
26,R&D,3,5,3,11732,No,1,4,No
25,R&D,16,2,3,6878,No,4,2,No
37,R&D,9,3,3,13682,No,10,3,No
45,Sales,8,1,2,10949,No,3,4,No
37,Sales,20,4,2,3074,No,11,3,No
23,R&D,13,5,2,12244,No,4,2,No
49,Sales,17,5,1,8085,No,9,3,No
53,R&D,17,3,4,7992,Yes,3,2,No
48,Human Resources,17,3,2,11449,No,12,2,Yes
41,Human Resources,1,2,4,5310,No,6,1,No
45,Human Resources,8,2,4,10634,Yes,6,1,No
33,R&D,19,5,4,11796,No,7,2,Yes
56,Human Resources,6,3,1,8170,No,9,4,No
54,Sales,3,1,1,10215,No,12,1,No
54,Human Resources,27,4,3,9067,No,7,2,No
58,Human Resources,5,3,3,5959,No,14,3,No
33,Human Resources,13,3,4,8617,No,1,3,No
24,Sales,15,2,3,6492,No,8,4,No
22,R&D,14,4,4,10337,No,5,3,No
54,Sales,29,5,1,2703,No,9,3,Yes
31,R&D,23,3,1,5275,No,10,2,No
50,R&D,16,5,1,13024,No,13,3,No
34,Human Resources,18,3,2,4492,No,12,3,Yes
33,R&D,22,5,4,4743,No,5,3,Yes
52,Sales,29,4,1,10998,Yes,5,3,Yes
23,Sales,22,2,4,4187,Yes,12,2,No
56,R&D,11,4,3,6609,No,12,3,No
44,Human Resources,3,1,3,4360,No,14,4,No
38,Human Resources,22,2,1,12653,Yes,2,1,Yes
47,Sales,10,4,4,7676,Yes,12,4,No
29,Human Resources,10,1,1,3222,Yes,11,1,Yes
50,R&D,21,3,3,11471,No,3,4,No
47,R&D,16,3,1,11220,Yes,10,1,Yes
31,Sales,12,5,4,7393,No,9,1,No
47,R&D,2,2,3,2843,No,7,1,No
55,Sales,9,3,2,14478,No,1,1,No
28,R&D,24,2,3,14374,No,3,2,No
25,Sales,3,3,2,7898,Yes,12,4,Yes
32,Human Resources,24,5,1,10900,No,2,1,No
50,R&D,25,4,1,7236,No,1,4,No
57,R&D,15,5,4,5906,No,9,3,No
46,Sales,3,1,2,12003,No,8,1,No
42,Sales,19,3,1,12991,No,5,4,No
57,R&D,18,1,2,14028,Yes,11,2,Yes
31,Sales,8,1,1,12639,No,12,4,No
58,R&D,26,2,3,3419,Yes,2,1,Yes
30,Human Resources,17,3,1,8319,No,1,3,No
45,Sales,8,1,4,4544,Yes,7,4,No
56,R&D,7,4,3,2918,No,13,3,No
56,Human Resources,7,1,4,4249,No,11,2,No
57,Human Resources,3,4,3,13534,Yes,11,4,No
39,R&D,1,2,2,9878,No,2,4,No
53,Sales,4,1,4,3599,Yes,1,2,Yes
45,R&D,25,5,1,5892,Yes,2,2,Yes
44,Human Resources,5,2,2,5272,No,7,2,No
53,R&D,1,4,1,13172,No,7,1,No
58,Sales,15,2,3,9284,No,10,1,No
33,Human Resources,5,1,3,4045,Yes,6,4,No
34,R&D,13,3,1,3570,No,5,4,No
44,Sales,8,3,1,9022,No,3,4,No
46,Human Resources,8,4,2,4350,No,14,3,No
56,Sales,5,4,1,7553,No,12,2,No
51,Human Resources,28,3,4,14890,No,3,4,No
38,R&D,9,4,4,5439,No,11,2,No
41,Sales,1,2,1,12595,No,13,1,No
46,Human Resources,4,5,4,9694,No,12,2,No
43,Sales,3,5,1,8351,No,9,3,No
34,Sales,2,2,2,9173,Yes,4,3,Yes
40,R&D,8,5,4,3178,No,9,2,Yes
57,Sales,23,1,4,3488,No,4,3,No
33,Human Resources,9,2,1,13167,Yes,2,3,Yes
40,Human Resources,2,4,4,12299,Yes,4,1,No
33,Human Resources,14,2,3,13561,No,6,4,No
30,Human Resources,14,3,2,4002,Yes,6,3,No
28,R&D,4,4,2,4289,No,5,4,No
49,Sales,6,3,4,7781,No,1,2,No
35,R&D,11,4,4,7527,No,3,2,No
52,Sales,3,5,3,3925,Yes,5,3,No
40,Sales,8,2,3,9154,No,6,2,No
37,Sales,3,1,4,4940,No,14,1,No
26,R&D,14,4,4,12734,No,1,3,No
56,Sales,28,4,3,9356,No,14,3,No
33,R&D,13,3,1,9867,No,14,3,No
46,Human Resources,13,5,3,11970,No,9,2,No
42,Human Resources,2,3,1,5094,No,14,2,No
57,Sales,13,3,2,7189,No,3,3,No
44,R&D,29,5,2,4936,No,10,4,No
37,Human Resources,19,1,3,8017,Yes,13,2,No
35,R&D,27,3,1,14495,No,3,2,No
52,R&D,6,3,3,12897,No,11,3,No
26,Sales,16,4,3,11719,No,2,4,No
56,Human Resources,2,5,1,8810,No,8,3,Yes
44,Sales,8,2,3,6039,Yes,13,2,No
50,Sales,17,1,2,5983,Yes,3,3,Yes
32,Human Resources,23,1,4,9871,Yes,6,3,Yes
39,Human Resources,2,5,4,4741,Yes,2,3,No
33,R&D,10,4,3,8878,No,7,4,No
30,Human Resources,28,4,1,5265,Yes,13,3,Yes
31,R&D,16,5,1,11865,Yes,4,2,Yes
38,R&D,6,4,2,13922,No,9,3,No
59,R&D,28,1,1,14042,No,14,4,No
28,Human Resources,2,1,1,7411,No,10,1,No
34,Sales,2,2,2,2903,No,9,4,No
30,R&D,26,5,3,13417,No,7,3,No
48,Sales,13,3,4,5882,Yes,12,1,No
23,Sales,24,3,2,6663,No,8,3,No
26,Human Resources,15,2,3,10130,Yes,3,4,No
50,Sales,28,2,2,2587,No,11,1,Yes
58,Sales,2,4,3,11850,No,5,1,No
59,Human Resources,7,2,2,8316,No,2,3,Yes
40,R&D,3,2,3,7970,No,10,3,No
29,Sales,8,3,2,8776,No,7,4,No
22,Human Resources,23,4,3,8239,Yes,13,3,Yes
43,Sales,14,2,2,6773,No,8,1,No
38,Sales,24,2,4,13549,No,9,2,Yes
28,R&D,23,4,4,12073,No,11,2,No
46,Sales,27,5,1,9023,Yes,11,4,Yes
25,Human Resources,22,4,3,7503,No,7,3,No
57,Sales,29,3,2,10538,No,10,4,No
27,R&D,7,5,3,9106,No,10,2,No
52,R&D,21,1,4,4564,No,13,2,No
40,Human Resources,7,4,3,7815,No,8,3,No
48,R&D,1,3,2,13066,No,12,1,No
31,Sales,17,5,3,2817,No,9,3,No
47,R&D,9,4,2,4002,No,6,2,No
40,Human Resources,21,2,4,8630,No,12,1,No
24,R&D,13,4,4,9919,No,12,4,No
34,R&D,21,1,4,4542,Yes,10,2,Yes
49,R&D,19,4,1,7098,Yes,2,4,Yes
41,Human Resources,21,5,4,12714,No,2,1,No
49,R&D,19,5,3,2618,Yes,4,4,Yes
29,R&D,25,4,1,3209,No,9,2,No
22,Sales,25,5,4,6057,No,7,3,No
24,Human Resources,22,2,3,14832,No,2,4,No
34,R&D,17,4,3,5750,No,8,2,No
49,Human Resources,23,2,3,10561,No,11,2,No
46,R&D,23,2,2,11109,Yes,7,1,Yes
54,R&D,10,3,1,5103,No,9,2,No
59,R&D,10,4,3,14546,No,8,3,No
27,Sales,4,5,2,3601,No,3,3,No
53,Sales,8,2,4,6921,No,1,4,No
42,Sales,22,3,3,10357,No,2,4,Yes
37,Human Resources,20,4,2,14120,Yes,14,4,Yes
42,Human Resources,20,4,3,10677,No,13,4,Yes
32,Sales,18,1,1,8582,No,2,3,No
58,Human Resources,14,1,1,9158,Yes,4,1,Yes
57,R&D,18,2,4,4761,No,6,4,No
56,R&D,28,1,3,10521,No,4,1,No
40,R&D,14,2,2,14861,No,9,2,No
41,Sales,20,5,4,14326,Yes,4,2,No
39,Human Resources,21,2,3,3008,Yes,6,4,Yes
35,Sales,24,1,4,4879,No,6,2,No
36,Human Resources,15,5,2,13856,Yes,10,1,Yes
52,R&D,22,1,4,11379,No,11,1,No
22,Sales,4,2,4,7252,No,10,2,No
24,Human Resources,13,3,4,11984,No,1,4,No
37,Human Resources,27,4,3,7995,No,8,1,No
44,R&D,23,1,2,14597,No,12,1,No
32,Sales,8,2,1,13767,Yes,3,3,Yes
33,Sales,18,5,3,5709,No,13,4,No
31,Sales,12,1,1,9898,No,6,3,No
53,R&D,23,1,1,9243,No,3,2,No
37,Sales,14,4,3,8148,No,11,2,No
29,R&D,2,2,3,7671,No,2,3,No
